Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	11	0	0.00782013439	100127.452	100127.452	100127.452	100127.452	0	0	0	0	6822.72	0	0	3
2	13	0	0.0156402688	100126.123	100126.787	100126.123	100127.452	0.664541982	0	0	0	2755.05	0	0	3
3	15	0	0.0234604032	100126.012	100126.529	100126.012	100127.452	0.923059222	0	0	0	1671.04	0	0	3
4	17	0	0.0312805376	100126.046	100126.408	100126.012	100127.452	1.04367687	0	0	0	942.931	0	0	3
5	19	0	0.0391006719	100126.011	100126.329	100126.011	100127.452	1.12313574	0	0	0	616.926	0	0	3
6	20	0	0.0469208063	100126.069	100126.285	100126.011	100127.452	1.16635915	0	0	0	466.278	0	0	3
7	22	0	0.0547409407	100126.052	100126.252	100126.011	100127.452	1.19973141	0	0	0	455.629	0	0	3
8	23	0	0.0625610751	100126.097	100126.233	100126.011	100127.452	1.21910438	0	0	0	435.115	0	0	3
9	25	0	0.0703812095	100126.08	100126.216	100126.011	100127.452	1.23606416	0	0	0	410.191	0	0	3
10	26	0	0.0782013439	100126.121	100126.206	100126.011	100127.452	1.2455034	0	0	0	399.783	0	0	3
11	28	0	0.0860214783	100126.096	100126.196	100126.011	100127.452	1.25548751	0	0	0	399.627	0	0	3
12	30	0	0.0938416127	100126.15	100126.192	100126.011	100127.452	1.25935437	0	0	0	400.509	0	0	3
13	31	0	0.101661747	100126.125	100126.187	100126.011	100127.452	1.26454524	0	0	0	400.793	0	0	3
14	33	0	0.109481881	100126.163	100126.185	100126.011	100127.452	1.26626058	0	0	0	397.82	0	0	3
15	34	0	0.117302016	100126.149	100126.183	100126.011	100127.452	1.26872012	0	0	0	395.126	0	0	3
16	36	0	0.12512215	100126.17	100126.182	100126.011	100127.452	1.26952839	0	0	0	393.965	0	0	3
17	38	0	0.132942285	100126.164	100126.181	100126.011	100127.452	1.2705835	0	0	0	389.465	0	0	3
18	39	0	0.140762419	100126.172	100126.181	100126.011	100127.452	1.27106375	0	0	0	385.229	0	0	3
19	41	0	0.148582553	100126.171	100126.18	100126.011	100127.452	1.27159363	0	0	0	384.248	0	0	3
20	43	0	0.156402688	100126.172	100126.18	100126.011	100127.452	1.27201527	0	0	0	381.867	0	0	3
21	44	0	0.164222822	100126.17	100126.179	100126.011	100127.452	1.27248286	0	0	0	382.673	0	0	3
22	46	0	0.172042957	100126.166	100126.179	100126.011	100127.452	1.27306591	0	0	0	384.638	0	0	3
23	47	0	0.179863091	100126.162	100126.178	100126.011	100127.452	1.27377135	0	0	0	390.603	0	0	3
24	49	0	0.187683225	100126.157	100126.177	100126.011	100127.452	1.27465076	0	0	0	393.204	0	0	3
