1	0
0.989139	0.0014151
0.9681948	0.0039236
0.9458229	0.0063741
0.9231527	0.0086942
0.9004199	0.0109139
0.87765	0.013046
0.8548454	0.015105
0.832016	0.0171042
0.8091745	0.0190486
0.7863288	0.0209407
0.7634817	0.02278
0.7406324	0.0245652
0.717778	0.0262957
0.6949178	0.0279724
0.6720548	0.0295955
0.6491931	0.0311622
0.626334	0.0326692
0.6034761	0.0341133
0.5806182	0.0354919
0.5577613	0.0368022
0.5349083	0.0380402
0.5120612	0.0392006
0.4892196	0.0402777
0.4663822	0.0412662
0.4435495	0.0421609
0.4207244	0.0429563
0.3979117	0.0436437
0.3751154	0.0442122
0.3523374	0.044651
0.3295755	0.0449494
0.3068309	0.0450959
0.2841375	0.0450731
0.2614783	0.0448509
0.2388254	0.044424
0.2162469	0.0437736
0.1937207	0.0428627
0.1712825	0.041668
0.1489635	0.0401363
0.1268009	0.0382175
0.1048676	0.0358296
0.0831917	0.0328884
0.0620571	0.0293226
0.0422963	0.0250519
0.0258825	0.0201581
0.0146112	0.0152114
0.0077743	0.0107819
0.0037553	0.0071205
0.0013151	0.0039205
0.000149	0.0012133
0	0
0	0
0.000149	-0.0012133
0.0013151	-0.0039205
0.0037553	-0.0071205
0.0077743	-0.0107819
0.0146112	-0.0152114
0.0258825	-0.0201581
0.0422963	-0.0250519
0.0620571	-0.0293226
0.0831917	-0.0328884
0.1048676	-0.0358296
0.1268009	-0.0382175
0.1489635	-0.0401363
0.1712825	-0.041668
0.1937207	-0.0428627
0.2162469	-0.0437736
0.2388254	-0.044424
0.2614783	-0.0448509
0.2841375	-0.0450731
0.3068309	-0.0450959
0.3295755	-0.0449494
0.3523374	-0.044651
0.3751154	-0.0442122
0.3979117	-0.0436437
0.4207244	-0.0429563
0.4435495	-0.0421609
0.4663822	-0.0412662
0.4892196	-0.0402777
0.5120612	-0.0392006
0.5349083	-0.0380402
0.5577613	-0.0368022
0.5806182	-0.0354919
0.6034761	-0.0341133
0.626334	-0.0326692
0.6491931	-0.0311622
0.6720548	-0.0295955
0.6949178	-0.0279724
0.717778	-0.0262957
0.7406324	-0.0245652
0.7634817	-0.02278
0.7863288	-0.0209407
0.8091745	-0.0190486
0.832016	-0.0171042
0.8548454	-0.015105
0.87765	-0.013046
0.9004199	-0.0109139
0.9231527	-0.0086942
0.9458229	-0.0063741
0.9681948	-0.0039236
0.989139	-0.0014151
1	0
