Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00741635569	287.500004	287.500004	287.500004	287.500004	0	0	0	0	0.185761	0	0	3
2	16	0	0.0148327114	287.500001	287.500002	287.500001	287.500004	1.79427201e-06	0	0	0	0.185804	0	0	3
3	18	0	0.0222490671	287.500001	287.500002	287.500001	287.500004	2.41903768e-06	0	0	0	0.187844	0	0	3
4	20	0	0.0296654227	287.499999	287.500001	287.499999	287.500004	3.01088073e-06	0	0	0	0.189136	0	0	3
5	22	0	0.0370817784	287.499999	287.500001	287.499999	287.500004	3.46999371e-06	0	0	0	0.19201	0	0	3
6	25	0	0.0444981341	287.499997	287.5	287.499997	287.500004	4.05952699e-06	0	0	0	0.190229	0	0	3
7	27	0	0.0519144898	287.499996	287.5	287.499996	287.500004	4.69221385e-06	0	0	0	0.191009	0	0	3
8	28	0	0.0593308455	287.499993	287.499999	287.499993	287.500004	5.44382925e-06	0	0	0	0.190176	0	0	3
9	30	0	0.0667472012	287.499992	287.499998	287.499992	287.500004	6.22662651e-06	0	0	0	0.190134	0	0	3
10	32	0	0.0741635569	287.49999	287.499997	287.49999	287.500004	7.06032779e-06	0	0	0	0.189092	0	0	3
11	34	0	0.0815799126	287.499987	287.499996	287.499987	287.500004	7.975534e-06	0	0	0	0.183696	0	0	3
12	36	0	0.0889962682	287.499984	287.499995	287.499984	287.500004	8.95374671e-06	0	0	0	0.18201	0	0	3
13	38	0	0.0964126239	287.499982	287.499994	287.499982	287.500004	9.96357267e-06	0	0	0	0.181014	0	0	3
14	40	0	0.10382898	287.49998	287.499993	287.49998	287.500004	1.09971988e-05	0	0	0	0.180295	0	0	3
15	42	0	0.111245335	287.499978	287.499992	287.499978	287.500004	1.20382218e-05	0	0	0	0.180129	0	0	3
16	44	0	0.118661691	287.499974	287.499991	287.499974	287.500004	1.31464683e-05	0	0	0	0.181545	0	0	3
