Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00741635569	100126.741	100126.741	100126.741	100126.741	0	0	0	0	5537.71	0	0	3
2	16	0	0.0148327114	100126.065	100126.403	100126.065	100126.741	0.337515858	0	0	0	1914.61	0	0	3
3	18	0	0.0222490671	100125.999	100126.268	100125.999	100126.741	0.472270414	0	0	0	1383.81	0	0	3
4	20	0	0.0296654227	100126.03	100126.209	100125.999	100126.741	0.5319294	0	0	0	1459.19	0	0	3
5	22	0	0.0370817784	100125.949	100126.157	100125.949	100126.741	0.583859498	0	0	0	1482.11	0	0	3
6	25	0	0.0444981341	100126.072	100126.142	100125.949	100126.741	0.598029565	0	0	0	1393.19	0	0	3
7	27	0	0.0519144898	100125.996	100126.122	100125.949	100126.741	0.618926068	0	0	0	1272.05	0	0	3
8	28	0	0.0593308455	100126.103	100126.119	100125.949	100126.741	0.62130388	0	0	0	1105.96	0	0	3
9	30	0	0.0667472012	100126.046	100126.111	100125.949	100126.741	0.629417453	0	0	0	969.06	0	0	3
10	32	0	0.0741635569	100126.104	100126.11	100125.949	100126.741	0.630131615	0	0	0	937.045	0	0	3
11	34	0	0.0815799126	100126.073	100126.107	100125.949	100126.741	0.633529506	0	0	0	891.988	0	0	3
12	36	0	0.0889962682	100126.107	100126.107	100125.949	100126.741	0.633552635	0	0	0	872.916	0	0	3
13	38	0	0.0964126239	100126.098	100126.106	100125.949	100126.741	0.634210094	0	0	0	874.293	0	0	3
14	40	0	0.10382898	100126.119	100126.107	100125.949	100126.741	0.634210094	0	0	0	850.884	0	0	3
15	42	0	0.111245335	100126.113	100126.108	100125.949	100126.741	0.634210094	0	0	0	853.273	0	0	3
16	44	0	0.118661691	100126.125	100126.109	100125.949	100126.741	0.634210094	0	0	0	839.483	0	0	3
17	46	0	0.126078047	100126.125	100126.11	100125.949	100126.741	0.634210094	0	0	0	840.639	0	0	3
18	48	0	0.133494402	100126.128	100126.111	100125.949	100126.741	0.634210094	0	0	0	826.417	0	0	3
19	50	0	0.140910758	100126.127	100126.111	100125.949	100126.741	0.634210094	0	0	0	826.794	0	0	3
20	51	0	0.148327114	100126.127	100126.112	100125.949	100126.741	0.634210094	0	0	0	813.585	0	0	3
21	53	0	0.155743469	100126.125	100126.113	100125.949	100126.741	0.634210094	0	0	0	813.677	0	0	3
22	56	0	0.163159825	100126.124	100126.113	100125.949	100126.741	0.634210094	0	0	0	802.93	0	0	3
23	58	0	0.170576181	100126.121	100126.114	100125.949	100126.741	0.634210094	0	0	0	802.988	0	0	3
24	60	0	0.177992536	100126.118	100126.114	100125.949	100126.741	0.634210094	0	0	0	792.337	0	0	3
25	62	0	0.185408892	100126.115	100126.114	100125.949	100126.741	0.634210094	0	0	0	791.597	0	0	3
26	64	0	0.192825248	100126.112	100126.114	100125.949	100126.741	0.634210094	0	0	0	783.638	0	0	3
27	66	0	0.200241604	100126.109	100126.114	100125.949	100126.741	0.634210094	0	0	0	785.178	0	0	3
28	68	0	0.207657959	100126.108	100126.113	100125.949	100126.741	0.634210094	0	0	0	775.743	0	0	3
29	70	0	0.215074315	100126.108	100126.113	100125.949	100126.741	0.634210094	0	0	0	785.611	0	0	3
30	71	0	0.222490671	100126.109	100126.113	100125.949	100126.741	0.634210094	0	0	0	787.869	0	0	3
31	73	0	0.229907026	100126.112	100126.113	100125.949	100126.741	0.634210094	0	0	0	766.783	0	0	3
32	75	0	0.237323382	100126.117	100126.113	100125.949	100126.741	0.634210094	0	0	0	765.689	0	0	3
33	77	0	0.244739738	100126.122	100126.113	100125.949	100126.741	0.634210094	0	0	0	767.707	0	0	3
34	79	0	0.252156093	100126.127	100126.114	100125.949	100126.741	0.634210094	0	0	0	786.552	0	0	3
35	81	0	0.259572449	100126.131	100126.114	100125.949	100126.741	0.634210094	0	0	0	775.361	0	0	3
36	83	0	0.266988805	100126.132	100126.115	100125.949	100126.741	0.634210094	0	0	0	767.953	0	0	3
37	84	0	0.27440516	100126.132	100126.115	100125.949	100126.741	0.634210094	0	0	0	740.543	0	0	3
38	86	0	0.281821516	100126.131	100126.116	100125.949	100126.741	0.634210094	0	0	0	784.049	0	0	3
39	88	0	0.289237872	100126.13	100126.116	100125.949	100126.741	0.634210094	0	0	0	772.817	0	0	3
40	90	0	0.296654227	100126.129	100126.116	100125.949	100126.741	0.634210094	0	0	0	743.65	0	0	3
41	92	0	0.304070583	100126.128	100126.117	100125.949	100126.741	0.634210094	0	0	0	738.791	0	0	3
42	94	0	0.311486939	100126.128	100126.117	100125.949	100126.741	0.634210094	0	0	0	748.523	0	0	3
43	96	0	0.318903295	100126.127	100126.117	100125.949	100126.741	0.634210094	0	0	0	794.927	0	0	3
44	98	0	0.32631965	100126.127	100126.117	100125.949	100126.741	0.634210094	0	0	0	793.573	0	0	3
45	100	0	0.333736006	100126.126	100126.118	100125.949	100126.741	0.634210094	0	0	0	745.373	0	0	3
46	102	0	0.341152362	100126.124	100126.118	100125.949	100126.741	0.634210094	0	0	0	727.105	0	0	3
47	104	0	0.348568717	100126.122	100126.118	100125.949	100126.741	0.634210094	0	0	0	725.635	0	0	3
48	105	0	0.355985073	100126.12	100126.118	100125.949	100126.741	0.634210094	0	0	0	797.712	0	0	3
49	107	0	0.363401429	100126.118	100126.118	100125.949	100126.741	0.634210094	0	0	0	713.46	0	0	3
50	109	0	0.370817784	100126.116	100126.118	100125.949	100126.741	0.634210094	0	0	0	749.056	0	0	3
51	111	0	0.37823414	100126.114	100126.118	100125.949	100126.741	0.634210094	0	0	0	711.4	0	0	3
52	113	0	0.385650496	100126.113	100126.118	100125.949	100126.741	0.634210094	0	0	0	713.349	0	0	3
53	115	0	0.393066851	100126.112	100126.118	100125.949	100126.741	0.634210094	0	0	0	765.492	0	0	3
54	117	0	0.400483207	100126.111	100126.117	100125.949	100126.741	0.634210094	0	0	0	726.097	0	0	3
55	119	0	0.407899563	100126.11	100126.117	100125.949	100126.741	0.634210094	0	0	0	719.366	0	0	3
56	121	0	0.415315918	100126.108	100126.117	100125.949	100126.741	0.634210094	0	0	0	697.863	0	0	3
57	122	0	0.422732274	100126.107	100126.117	100125.949	100126.741	0.634210094	0	0	0	697.118	0	0	3
58	124	0	0.43014863	100126.106	100126.117	100125.949	100126.741	0.634210094	0	0	0	691.38	0	0	3
59	126	0	0.437564986	100126.105	100126.117	100125.949	100126.741	0.634210094	0	0	0	690.584	0	0	3
60	128	0	0.444981341	100126.104	100126.116	100125.949	100126.741	0.634210094	0	0	0	687.497	0	0	3
61	130	0	0.452397697	100126.102	100126.116	100125.949	100126.741	0.634210094	0	0	0	685.922	0	0	3
62	132	0	0.459814053	100126.101	100126.116	100125.949	100126.741	0.634210094	0	0	0	684.364	0	0	3
63	134	0	0.467230408	100126.1	100126.116	100125.949	100126.741	0.634210094	0	0	0	682.392	0	0	3
64	135	0	0.474646764	100126.099	100126.115	100125.949	100126.741	0.634210094	0	0	0	680.281	0	0	3
65	137	0	0.48206312	100126.098	100126.115	100125.949	100126.741	0.634210094	0	0	0	678.121	0	0	3
66	139	0	0.489479475	100126.098	100126.115	100125.949	100126.741	0.634210094	0	0	0	675.445	0	0	3
67	141	0	0.496895831	100126.097	100126.115	100125.949	100126.741	0.634210094	0	0	0	673.968	0	0	3
