Iteration	CPUTime	PhysTime	Travels
1	14	0	0.00741635569
2	16	0	0.0148327114
3	18	0	0.0222490671
4	20	0	0.0296654227
5	22	0	0.0370817784
6	25	0	0.0444981341
7	27	0	0.0519144898
8	28	0	0.0593308455
9	30	0	0.0667472012
10	32	0	0.0741635569
11	34	0	0.0815799126
12	36	0	0.0889962682
13	38	0	0.0964126239
14	40	0	0.10382898
15	42	0	0.111245335
16	44	0	0.118661691
17	46	0	0.126078047
18	48	0	0.133494402
19	50	0	0.140910758
20	51	0	0.148327114
21	53	0	0.155743469
22	56	0	0.163159825
23	58	0	0.170576181
24	60	0	0.177992536
25	62	0	0.185408892
26	64	0	0.192825248
27	66	0	0.200241604
28	68	0	0.207657959
29	70	0	0.215074315
30	71	0	0.222490671
31	73	0	0.229907026
32	75	0	0.237323382
33	77	0	0.244739738
34	79	0	0.252156093
35	81	0	0.259572449
36	83	0	0.266988805
37	84	0	0.27440516
38	86	0	0.281821516
39	88	0	0.289237872
40	90	0	0.296654227
41	92	0	0.304070583
42	94	0	0.311486939
43	96	0	0.318903295
44	98	0	0.32631965
45	100	0	0.333736006
46	102	0	0.341152362
47	104	0	0.348568717
48	105	0	0.355985073
49	107	0	0.363401429
50	109	0	0.370817784
51	111	0	0.37823414
52	113	0	0.385650496
53	115	0	0.393066851
54	117	0	0.400483207
55	119	0	0.407899563
56	121	0	0.415315918
57	122	0	0.422732274
58	124	0	0.43014863
59	126	0	0.437564986
60	128	0	0.444981341
61	130	0	0.452397697
62	132	0	0.459814053
63	134	0	0.467230408
64	135	0	0.474646764
65	137	0	0.48206312
66	139	0	0.489479475
67	141	0	0.496895831
68	143	0	0.504312187
69	145	0	0.511728542
70	146	0	0.519144898
71	148	0	0.526561254
72	150	0	0.533977609
73	152	0	0.541393965
74	154	0	0.548810321
75	156	0	0.556226677
76	157	0	0.563643032
77	159	0	0.571059388
78	161	0	0.578475744
79	163	0	0.585892099
80	165	0	0.593308455
81	167	0	0.600724811
82	168	0	0.608141166
83	170	0	0.615557522
84	172	0	0.622973878
85	174	0	0.630390233
86	176	0	0.637806589
87	178	0	0.645222945
88	179	0	0.6526393
89	181	0	0.660055656
90	183	0	0.667472012
91	185	0	0.674888368
92	187	0	0.682304723
93	189	0	0.689721079
94	190	0	0.697137435
95	192	0	0.70455379
96	194	0	0.711970146
97	196	0	0.719386502
98	198	0	0.726802857
99	200	0	0.734219213
100	202	0	0.741635569
101	206	0	0.749051924
102	207	0	0.75646828
103	209	0	0.763884636
104	211	0	0.771300991
105	213	0	0.778717347
106	215	0	0.786133703
107	217	0	0.793550059
108	219	0	0.800966414
109	220	0	0.80838277
110	223	0	0.815799126
111	225	0	0.823215481
112	226	0	0.830631837
113	228	0	0.838048193
114	230	0	0.845464548
115	232	0	0.852880904
116	233	0	0.86029726
117	235	0	0.867713615
118	237	0	0.875129971
119	239	0	0.882546327
120	241	0	0.889962682
121	242	0	0.897379038
122	244	0	0.904795394
123	246	0	0.91221175
124	248	0	0.919628105
125	250	0	0.927044461
126	251	0	0.934460817
127	253	0	0.941877172
128	255	0	0.949293528
129	257	0	0.956709884
130	259	0	0.964126239
131	261	0	0.971542595
132	262	0	0.978958951
133	264	0	0.986375306
134	266	0	0.993791662
135	268	0	1.00120802
136	270	0	1.00862437
137	272	0	1.01604073
138	274	0	1.02345708
139	276	0	1.03087344
140	278	0	1.0382898
141	280	0	1.04570615
142	281	0	1.05312251
143	283	0	1.06053886
144	285	0	1.06795522
145	287	0	1.07537157
146	289	0	1.08278793
147	291	0	1.09020429
148	293	0	1.09762064
149	295	0	1.105037
150	297	0	1.11245335
151	298	0	1.11986971
152	300	0	1.12728606
153	302	0	1.13470242
154	304	0	1.14211878
155	306	0	1.14953513
156	308	0	1.15695149
157	310	0	1.16436784
158	312	0	1.1717842
159	314	0	1.17920055
160	316	0	1.18661691
161	318	0	1.19403327
162	320	0	1.20144962
163	322	0	1.20886598
164	323	0	1.21628233
165	325	0	1.22369869
166	327	0	1.23111504
167	329	0	1.2385314
168	331	0	1.24594776
169	333	0	1.25336411
170	335	0	1.26078047
171	337	0	1.26819682
172	339	0	1.27561318
173	341	0	1.28302953
174	343	0	1.29044589
175	344	0	1.29786225
176	346	0	1.3052786
177	348	0	1.31269496
178	350	0	1.32011131
179	352	0	1.32752767
180	354	0	1.33494402
181	356	0	1.34236038
182	357	0	1.34977674
183	359	0	1.35719309
184	361	0	1.36460945
185	363	0	1.3720258
186	365	0	1.37944216
187	367	0	1.38685851
188	369	0	1.39427487
189	371	0	1.40169122
190	373	0	1.40910758
191	374	0	1.41652394
192	376	0	1.42394029
193	378	0	1.43135665
194	380	0	1.438773
195	382	0	1.44618936
196	384	0	1.45360571
197	386	0	1.46102207
198	388	0	1.46843843
199	390	0	1.47585478
200	392	0	1.48327114
201	395	0	1.49068749
202	397	0	1.49810385
203	399	0	1.5055202
204	401	0	1.51293656
205	403	0	1.52035292
206	405	0	1.52776927
207	407	0	1.53518563
208	409	0	1.54260198
209	411	0	1.55001834
210	413	0	1.55743469
211	414	0	1.56485105
212	416	0	1.57226741
213	418	0	1.57968376
214	420	0	1.58710012
215	422	0	1.59451647
216	424	0	1.60193283
217	426	0	1.60934918
218	428	0	1.61676554
219	430	0	1.6241819
220	431	0	1.63159825
221	433	0	1.63901461
222	435	0	1.64643096
223	437	0	1.65384732
224	439	0	1.66126367
225	441	0	1.66868003
226	443	0	1.67609639
227	445	0	1.68351274
228	447	0	1.6909291
229	448	0	1.69834545
230	450	0	1.70576181
231	452	0	1.71317816
232	454	0	1.72059452
233	456	0	1.72801088
234	458	0	1.73542723
235	460	0	1.74284359
236	462	0	1.75025994
