Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.0071108881	-67.4140178	-67.4140178	-67.4140178	-67.4140178	0	0	0	0	0	0	0	3
2	17	0	0.0142217762	2.46546282	-32.4742775	-67.4140178	2.46546282	34.9397403	0	0	0	0	0	0	3
3	19	0	0.0213326643	7.13706106	-19.270498	-67.4140178	7.13706106	48.1435199	0	0	0	0	0	0	3
4	21	0	0.0284435524	4.5027918	-13.3271755	-67.4140178	7.13706106	54.0868423	0	0	0	0	0	0	3
5	23	0	0.0355544405	5.45354342	-9.57103175	-67.4140178	7.13706106	57.8429861	0	0	0	0	0	0	3
6	26	0	0.0426653286	5.76358902	-7.01526162	-67.4140178	7.13706106	60.3987562	0	0	0	0	0	0	3
7	28	0	0.0497762167	3.03180543	-5.57996633	-67.4140178	7.13706106	61.8340515	0	0	0	0	0	0	3
8	30	0	0.0568871048	8.17728178	-3.86031032	-67.4140178	8.17728178	63.5537075	0	0	0	0	0	0	3
9	32	0	0.0639979929	-0.0209334365	-3.43371288	-67.4140178	8.17728178	63.980305	0	0	0	0	0	0	3
10	34	0	0.071108881	11.3169857	-1.95864302	-67.4140178	11.3169857	65.4553748	0	0	0	0	0	0	3
11	36	0	0.0782197691	-1.14514168	-1.88468836	-67.4140178	11.3169857	65.5293295	0	0	0	0	0	0	3
12	38	0	0.0853306571	11.5887514	-0.761901708	-67.4140178	11.5887514	66.6521161	0	0	0	0	0	0	3
13	41	0	0.0924415452	-1.42206304	-0.812683349	-67.4140178	11.5887514	66.6521161	0	0	0	0	0	0	3
14	43	0	0.0995524333	10.1294084	-0.0311053643	-67.4140178	11.5887514	67.3829125	0	0	0	0	0	0	3
15	45	0	0.106663321	0.494363891	0.00392591938	-67.4140178	11.5887514	67.4179438	0	0	0	0	0	0	3
16	47	0	0.11377421	6.80613483	0.429063976	-67.4140178	11.5887514	67.8430818	0	0	0	0	0	0	3
17	49	0	0.120885098	4.1227182	0.646337754	-67.4140178	11.5887514	68.0603556	0	0	0	0	0	0	3
18	51	0	0.127995986	5.47989138	0.914868512	-67.4140178	11.5887514	68.3288864	0	0	0	0	0	0	3
19	53	0	0.135106874	5.04374641	1.13217787	-67.4140178	11.5887514	68.5461957	0	0	0	0	0	0	3
20	55	0	0.142217762	5.35279286	1.34320862	-67.4140178	11.5887514	68.7572265	0	0	0	0	0	0	3
21	57	0	0.14932865	5.34401567	1.53372325	-67.4140178	11.5887514	68.9477411	0	0	0	0	0	0	3
22	59	0	0.156439538	5.30841192	1.7053	-67.4140178	11.5887514	69.1193179	0	0	0	0	0	0	3
23	61	0	0.163550426	5.39883612	1.86588853	-67.4140178	11.5887514	69.2799064	0	0	0	0	0	0	3
24	63	0	0.170661314	5.34046773	2.01066266	-67.4140178	11.5887514	69.4246805	0	0	0	0	0	0	3
25	65	0	0.177772202	5.38676274	2.14570667	-67.4140178	11.5887514	69.5597245	0	0	0	0	0	0	3
