Iteration	CPUTime	PhysTime	Travels
1	11	0	0.00783285131
2	13	0	0.0156657026
3	15	0	0.0234985539
4	17	0	0.0313314053
5	19	0	0.0391642566
6	20	0	0.0469971079
7	22	0	0.0548299592
8	24	0	0.0626628105
9	25	0	0.0704956618
10	27	0	0.0783285131
11	28	0	0.0861613645
12	30	0	0.0939942158
13	31	0	0.101827067
14	33	0	0.109659918
15	34	0	0.11749277
16	36	0	0.125325621
17	38	0	0.133158472
18	39	0	0.140991324
19	40	0	0.148824175
20	42	0	0.156657026
21	44	0	0.164489878
22	45	0	0.172322729
23	46	0	0.18015558
24	48	0	0.187988432
25	49	0	0.195821283
26	51	0	0.203654134
27	52	0	0.211486985
28	54	0	0.219319837
29	55	0	0.227152688
30	57	0	0.234985539
31	58	0	0.242818391
32	60	0	0.250651242
33	62	0	0.258484093
34	63	0	0.266316945
35	65	0	0.274149796
36	66	0	0.281982647
37	68	0	0.289815499
38	69	0	0.29764835
39	71	0	0.305481201
40	72	0	0.313314053
41	74	0	0.321146904
42	76	0	0.328979755
43	77	0	0.336812606
44	79	0	0.344645458
45	80	0	0.352478309
46	82	0	0.36031116
47	84	0	0.368144012
48	85	0	0.375976863
49	87	0	0.383809714
50	88	0	0.391642566
51	90	0	0.399475417
52	92	0	0.407308268
53	93	0	0.41514112
54	95	0	0.422973971
55	96	0	0.430806822
56	98	0	0.438639674
57	100	0	0.446472525
58	101	0	0.454305376
59	103	0	0.462138228
60	104	0	0.469971079
61	106	0	0.47780393
62	107	0	0.485636781
63	109	0	0.493469633
64	111	0	0.501302484
65	112	0	0.509135335
66	114	0	0.516968187
67	115	0	0.524801038
68	117	0	0.532633889
69	119	0	0.540466741
70	120	0	0.548299592
71	122	0	0.556132443
72	123	0	0.563965295
73	125	0	0.571798146
74	126	0	0.579630997
75	128	0	0.587463849
76	130	0	0.5952967
77	131	0	0.603129551
78	133	0	0.610962402
79	134	0	0.618795254
80	136	0	0.626628105
81	137	0	0.634460956
82	139	0	0.642293808
83	141	0	0.650126659
84	142	0	0.65795951
85	144	0	0.665792362
86	145	0	0.673625213
87	147	0	0.681458064
88	149	0	0.689290916
89	150	0	0.697123767
90	152	0	0.704956618
91	153	0	0.71278947
92	155	0	0.720622321
93	156	0	0.728455172
94	158	0	0.736288023
95	160	0	0.744120875
96	161	0	0.751953726
97	163	0	0.759786577
98	164	0	0.767619429
99	166	0	0.77545228
100	167	0	0.783285131
101	171	0	0.791117983
102	172	0	0.798950834
103	174	0	0.806783685
104	175	0	0.814616537
105	177	0	0.822449388
106	178	0	0.830282239
107	180	0	0.838115091
108	182	0	0.845947942
109	183	0	0.853780793
110	185	0	0.861613645
111	186	0	0.869446496
112	188	0	0.877279347
113	189	0	0.885112198
114	191	0	0.89294505
115	192	0	0.900777901
116	194	0	0.908610752
117	195	0	0.916443604
118	197	0	0.924276455
119	199	0	0.932109306
120	200	0	0.939942158
121	202	0	0.947775009
122	203	0	0.95560786
123	205	0	0.963440712
124	207	0	0.971273563
125	208	0	0.979106414
126	210	0	0.986939266
127	211	0	0.994772117
128	213	0	1.00260497
129	214	0	1.01043782
130	216	0	1.01827067
131	218	0	1.02610352
132	219	0	1.03393637
133	221	0	1.04176922
134	223	0	1.04960208
135	225	0	1.05743493
136	226	0	1.06526778
137	228	0	1.07310063
138	229	0	1.08093348
139	231	0	1.08876633
140	233	0	1.09659918
141	234	0	1.10443204
142	236	0	1.11226489
143	238	0	1.12009774
144	239	0	1.12793059
145	241	0	1.13576344
146	243	0	1.14359629
147	244	0	1.15142914
148	246	0	1.15926199
149	248	0	1.16709485
150	249	0	1.1749277
151	251	0	1.18276055
152	253	0	1.1905934
153	254	0	1.19842625
154	256	0	1.2062591
155	258	0	1.21409195
156	259	0	1.2219248
157	261	0	1.22975766
158	263	0	1.23759051
159	264	0	1.24542336
